B	D	Depth	Discharge	H	Latitude	Longitude	Q	Rp	SedQ	SedQ_err	Slope	Type	Width	WidthControl
6.23104	0.0152	0.4	1.1	0.607906	37.9972	-84.4056	12329.6	7539.49	nan	nan	0.0058	1	4.1	3
7.53366	0.0301	0.5	1.7	0.638446	38.0283	-84.4019	3453.01	21010	nan	nan	0.0073	1	5.9	1
9.85656	0.0308	0.6	2.1	0.70404	38.04	-84.4111	4027.24	21747.2	nan	nan	0.0046	1	8.4	2
6.61456	0.0385	0.4	1.8	0.499212	38.0208	-84.5939	1976	30392.6	nan	nan	0.0074	1	5.3	1
6.84081	0.0396	1	15	0.534438	38.2372	-85.6647	15346.8	31704.4	nan	nan	0.0037	1	12.8	2
11.562	0.045	0.5	4.7	0.425074	38.1947	-85.5572	3493.27	38405.7	nan	nan	0.0053	1	13.6	3
6.83986	0.0455	0.9	15.3	0.477199	39.03	-84.8042	11061.9	39047.5	nan	nan	0.0071	1	12.9	1
8.0167	0.0477	0.7	9.7	0.445372	37.9911	-85.6411	6232.2	41913.5	nan	nan	0.005	1	12.6	2
8.10974	0.0534	0.9	7.5	0.634676	nan	nan	3633.91	49646.5	nan	nan	0.0025	1	11.5	9
8.07641	0.0564	0.7	4.7	0.595104	38.2758	-85.6061	1986.39	53888.4	nan	nan	0.0053	1	9.5	3
7.79857	0.0595	0.9	10.6	0.552655	38.8444	-84.5322	3919.03	58391.8	nan	nan	0.0056	1	12.7	2
6.98301	0.0607	0.5	4.4	0.436438	38.9867	-84.3653	1547.56	60167.2	nan	nan	0.0184	1	8	3
12.1354	0.0623	0.9	7.6	0.631322	38.0736	-84.4133	2504.72	62561.7	nan	nan	0.0032	1	17.3	1
3.77317	0.0787	1.5	57.8	0.467363	38.845	-84.7208	10620.8	88825.7	nan	nan	0.0053	1	12.11	2
9.56	0.0828	0.8	7.7	0.558248	38.3125	-85.6258	1246.18	95856.6	nan	nan	0.0061	1	13.7	2
5.63099	0.0831	1	21.2	0.465371	38.9806	-84.5417	3400.16	96378	nan	nan	0.0051	1	12.1	2
4.12315	0.0848	1	46.4	0.340194	38.9942	-84.7161	7074.47	99350.5	nan	nan	0.0035	1	12.12	2
3.13262	0.0872	2.2	92.6	0.567691	38.1883	-85.4603	13167	103598	nan	nan	0.001	1	12.14	2
6.801	0.1041	0.8	11.9	0.469035	38.0667	-84.5544	1086.64	135130	nan	nan	0.005	1	11.6	1
8.80014	0.1307	1	30.6	0.401833	38.1036	-84.5881	1581.97	190103	nan	nan	0.0029	1	21.9	1
4.46035	0.1317	1.2	38.2	0.441255	38.9514	-84.3383	1937.6	192289	nan	nan	0.0025	1	12.13	2
10.1046	0.1443	0.8	12.9	0.454138	37.9344	-84.5022	520.702	220534	nan	nan	0.0034	1	17.8	2
8.72588	0.194	0.7	15.4	0.370189	38.0597	-84.6264	296.607	343779	nan	nan	0.0028	1	16.5	2
12.5922	0.024	0.972	85.2	0.259313	40.9366	-106.339	304844	14958.7	nan	nan	0.0014	1	47.2	1
14.4199	0.034	1.85	255	0.318339	40.5028	-108.033	381952	25222.9	nan	nan	0.00088	1	83.8	2
7.93832	0.043	0.731	22.6	0.331595	39.8339	-106.056	18819.3	35873.9	nan	nan	0.0044	1	17.5	1
8.37102	0.046	0.518	7.08	0.373809	38.395	-106.423	4980.86	39692.9	nan	nan	0.0046	1	11.6	1
4.23183	0.049	0.201	0.697	0.366637	40.4961	-105.864	418.705	43638.6	nan	nan	0.026	1	2.32	2
9.12192	0.064	1.45	101	0.361388	40.5147	-106.953	31119.8	65139.8	nan	nan	0.0037	1	36.6	1
6.21886	0.073	0.427	8.36	0.288323	39.7958	-106.03	1853.81	79352.5	nan	nan	0.015	1	9.21	2
8.81523	0.079	0.878	42	0.310834	38.2989	-107.229	7644.46	89334.1	nan	nan	0.0058	1	24.9	1
9.63152	0.091	0.911	37.5	0.337473	38.6644	-106.847	4792.84	110443	nan	nan	0.0067	1	26	2
11.3504	0.098	0.844	49	0.28093	39.2326	-107.228	5203.51	123429	nan	nan	0.0058	1	34.1	2
8.69398	0.122	1.13	72.2	0.322105	40.9994	-107.143	4434.08	171442	nan	nan	0.0071	1	30.5	1
6.84511	0.079	0.518	6.4	0.389217	39.1722	-106.389	1164.87	89334.1	nan	nan	0.017	1	9.11	2
5.80315	0.058	0.41	2	0.490575	39.4317	-120.237	788.18	56197.7	nan	nan	0.01	1	4.85	2
5.62244	0.025	0.58	7.1	0.418079	37.1642	-112.958	22939	15903.3	0.0180169	0.00574709	0.004	1	7.8	2
12.7001	0.01813	1.21006	27.0143	0.511095	42.2561	-71.2606	194879	9821.4	nan	nan	0.0008	1	30.0685	3
13.8735	0.01832	0.621792	5.15367	0.509486	42.6825	-72.1156	36221.6	9976.19	nan	nan	0.002	1	16.9316	1
8.36879	0.02964	0.71628	8.35347	0.483804	41.9475	-71.1772	17633.4	20530.2	nan	nan	0.0024	1	12.3901	2
8.27399	0.03807	0.50292	4.61565	0.430665	42.265	-72.0053	5211.24	29884.8	nan	nan	0.0053	1	9.66216	2
8.14192	0.05001	0.399288	6.39961	0.300026	42.1903	-70.9453	3653.23	44994.7	nan	nan	0.0046	1	10.8356	3
9.75518	0.06588	1.04546	34.2634	0.401523	41.9964	-71.5631	9820.01	68031	nan	nan	0.0022	1	25.4	2
8.5745	0.06695	1.48133	86.9327	0.392023	42.6383	-72.7256	23931.6	69695.1	nan	nan	0.0052	1	32.4002	2
9.27354	0.07083	0.505968	7.75882	0.351997	41.9606	-72.7108	1855.32	75840.7	nan	nan	0.0064	1	13.33	2
